Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance,Release Type,Significant,Year,What Happened,Why It Happened
INC2019-116,Fire,2019-10-23,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.7905953,-116.9528857,,Not Applicable,Not Applicable,No,2019,"External Interference, Incorrect Operation",Tools and Equipment
INC2019-120,Release of Substance,2019-11-05,"Edson, Alberta",Alberta,NOVA Gas Transmission Ltd.,Submitted,53.198331,-116.194173,31775.96,Natural Gas - Sweet,Gas,Yes,2019,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2019-131,Serious Injury (CER or TSB),2019-12-09,"Edson, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,53.780254,-116.629058,,Not Applicable,Not Applicable,Yes,2019,External Interference,"Human Factors, Natural or Environmental Forces"
INC2019-133,Fire,2019-12-15,"Wonowon, BC",British Columbia,NOVA Gas Transmission Ltd.,Closed,56.966387,-122.083585,,Not Applicable,Not Applicable,No,2019,External Interference,Maintenance
INC2020-006,Fire,2020-01-26,"Paddle Prairie, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,57.80784558,-118.09967795,,Not Applicable,Not Applicable,No,2020,External Interference,To be determined
INC2020-007,Fire,2020-01-28,Manning,Alberta,NOVA Gas Transmission Ltd.,Closed,57.12286944,-117.63194444,,Not Applicable,Not Applicable,No,2020,External Interference,Maintenance
INC2020-014,Serious Injury (CER or TSB),2020-02-04,Fort St. John,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.894,-122.14,,Not Applicable,Not Applicable,Yes,2020,External Interference,Natural or Environmental Forces
INC2020-015,Fire,2020-02-04,Hinton ,Alberta,NOVA Gas Transmission Ltd.,Closed,54.01,-117.37,,Not Applicable,Not Applicable,No,2020,"External Interference, Incorrect Operation","Human Factors, Natural or Environmental Forces, Tools and Equipment"
INC2020-016,Release of Substance,2020-02-07,Edson ,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,53.198483,-116.192766,0.1,Natural Gas - Sweet,Gas,No,2020,To be determined,To be determined
INC2020-017,Release of Substance,2020-02-14,"Daysland, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,52.98812718,-112.19138271,22702.0,Natural Gas - Sweet,Gas,No,2020,Corrosion and Cracking,"Engineering and Planning, Maintenance"
INC2020-026,Fire,2020-03-01,Claresholm,Alberta,NOVA Gas Transmission Ltd.,Closed,49.97579813,-114.13122747,,Not Applicable,Not Applicable,No,2020,"External Interference, Incorrect Operation","Inadequate Supervision, Tools and Equipment"
INC2020-033,Fire,2020-03-23,Conklin,Alberta,NOVA Gas Transmission Ltd.,Submitted,55.688457,-111.442978,,Not Applicable,Not Applicable,No,2020,"Defect and Deterioration, External Interference",Maintenance
INC2020-034,Fire,2020-03-30,Ft. St. John ,British Columbia,NOVA Gas Transmission Ltd.,Closed,56.96144805,-122.07628418,,Not Applicable,Not Applicable,No,2020,Incorrect Operation,Human Factors
INC2020-036,Release of Substance,2020-04-10,Edson,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,53.77239,-116.91948,9100.0,Natural Gas - Sweet,Gas,No,2020,To be determined,To be determined
INC2020-039,Release of Substance,2020-04-23,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.48310727,-118.09993252,129636.35,Natural Gas - Sweet,Gas,Yes,2020,Corrosion and Cracking,Maintenance
INC2020-040,Operation Beyond Design Limits,2020-04-24,Two Hills,Alberta,NOVA Gas Transmission Ltd.,Submitted,53.76999,-111.9527,,Not Applicable,Not Applicable,No,2020,"External Interference, Natural Force Damage",Natural or Environmental Forces
INC2020-043,Release of Substance,2020-04-26,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,56.7054,-111.403,1.0,Natural Gas - Sweet,Gas,No,2020,To be determined,To be determined
INC2020-047,Operation Beyond Design Limits,2020-05-05,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,56.514333,-113.679722,,Not Applicable,Not Applicable,No,2020,To be determined,To be determined
INC2020-050,Release of Substance,2020-05-24,Longview ,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,50.38248,-114.226414,86.0,Natural Gas - Sweet,Gas,No,2020,To be determined,To be determined
INC2020-060,Operation Beyond Design Limits,2020-06-14,Drayton Valley AB,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,53.38098,-115.61765,,Not Applicable,Not Applicable,No,2020,To be determined,To be determined
INC2020-067,Operation Beyond Design Limits,2020-06-26,Gordondale,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,55.79381,-119.03227,,Not Applicable,Not Applicable,No,2020,To be determined,To be determined
INC2020-073,Operation Beyond Design Limits,2020-07-14,Edson,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,53.836111,-117.030833,,Not Applicable,Not Applicable,No,2020,To be determined,To be determined
INC2020-085,Operation Beyond Design Limits,2020-08-14,Fort Saskatchewan,Alberta,NOVA Gas Transmission Ltd.,Initially Submitted,54.584424,-114.076803,,Not Applicable,Not Applicable,No,2020,To be determined,To be determined
