Event Number,Company Name,Company City,Company Postal Code,Company Province/Territory,Circumstance(s),Result Of A Class Location Change,Distance To Closest Building,Length Of Replacement Pipe,Integrity Dig,Dig Count,Activity Unplanned,Commencement Date,Completion Date,Event Creation Date,Submission Date,Pipeline Name,Pipeline Outside Diameter,Pipeline Length,Commodity Carried,Facility Name,Facility Type,Province/Territory,Nearest Populated Centre,New Land Area Needed,New Permanent Land Needed,Activity Acquiring New Private Land,Activity Acquiring New Land In Agreement With Landowner,Activity Acquiring New Land Under Compliance,Land Within Critical Habitat,New Temporary Land Needed,Provincial and federal authorities been consulted,Activity Crossing Water Body,Vehicle Crossing Count,Activity Following DFO Fish Measures For Crossing,Ground Disturbance Near Water Required,Fish Present,In Stream Work Required,Activity Following DFO Fish Measures For In Stream Work,Species At Risk Present At Activity Site,Activity Using Navigable Water,Navigable Water Frozen Or Dry,Navigable Water Activity Meeting Transport Canada Minor Works And Waters Order,In Stream Activity Start Date,In Stream Activity End Date,Restricted Activity Start Date,Restricted Activity End Date
OM2021-329,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,170.0,,No,,No,09/21/2021,03/21/2022,08/23/2021,08/23/2021,Line 100-4,,,,,,Ontario,Clearwater Bay,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-329,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,170.0,,No,,No,09/21/2021,03/21/2022,08/23/2021,08/23/2021,Line 100-4,,,,,,Ontario,Clearwater Bay,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-328,Trans Québec and Maritimes Pipeline Inc.,Calgary,T2P 5H1,Quebec,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,170.0,,Yes,2.0,No,09/20/2021,03/20/2022,08/20/2021,08/20/2021,,,,,POSTE SAINT-MAURICE,,Quebec,Troise-Rivieres,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-328,Trans Québec and Maritimes Pipeline Inc.,Calgary,T2P 5H1,Quebec,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,170.0,,Yes,2.0,No,09/20/2021,03/20/2022,08/20/2021,08/20/2021,,,,,POSTE SAINT-MAURICE,,Quebec,Troise-Rivieres,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-327,Trans Mountain Pipeline ULC,,,British Columbia,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",False,37.0,,Yes,1.0,No,09/20/2021,11/30/2021,08/19/2021,08/20/2021,Mainline,,,,,,British Columbia,Barriere,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-327,Trans Mountain Pipeline ULC,,,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,37.0,,Yes,1.0,No,09/20/2021,11/30/2021,08/19/2021,08/20/2021,Mainline,,,,,,British Columbia,Barriere,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-326,Westcoast Energy Inc.,Edmonton,T5J 3S4,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/20/2021,04/30/2022,08/19/2021,08/19/2021,"12"" Gordondale Lateral Pipeline",,,,,,Alberta,"Gordondale, AB",,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2021-325,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,Yes,2.0,No,09/17/2021,03/17/2022,08/19/2021,08/19/2021,LINE 100-1,,,,,,Ontario,Dinorwic and Macdiarmid,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-324,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,Yes,2.0,No,09/17/2021,01/31/2022,08/19/2021,08/19/2021,SPRUCEFIELD LATERAL - NPS 4,,,,,,Alberta,Thorchild,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-323,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,Yes,1.0,No,09/17/2021,01/31/2022,08/19/2021,08/19/2021,EAS M/L LOOP #2 - NPS 36,,,,,,Alberta,Empress,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2021-322,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,Yes,2.0,No,09/17/2021,01/31/2022,08/19/2021,08/19/2021,CRAIGEND LATERAL - NPS 12,,,,,,Alberta,Smoky Lake,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2021-321,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",False,,,No,,No,09/17/2021,03/17/2022,06/24/2021,08/19/2021,LINE 100-1,,,,,,Ontario,Pearl,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
