Event Number,Company Name,Company City,Company Postal Code,Company Province/Territory,Circumstance(s),Result Of A Class Location Change,Distance To Closest Building,Length Of Replacement Pipe,Integrity Dig,Dig Count,Activity Unplanned,Commencement Date,Completion Date,Event Creation Date,Submission Date,Pipeline Name,Pipeline Outside Diameter,Pipeline Length,Commodity Carried,Facility Name,Facility Type,Province/Territory,Nearest Populated Centre,New Land Area Needed,New Permanent Land Needed,Activity Acquiring New Private Land,Activity Acquiring New Land In Agreement With Landowner,Activity Acquiring New Land Under Compliance,Land Within Critical Habitat,New Temporary Land Needed,Provincial and federal authorities been consulted,Activity Crossing Water Body,Vehicle Crossing Count,Activity Following DFO Fish Measures For Crossing,Ground Disturbance Near Water Required,Fish Present,In Stream Work Required,Activity Following DFO Fish Measures For In Stream Work,Species At Risk Present At Activity Site,Activity Using Navigable Water,Navigable Water Frozen Or Dry,Navigable Water Activity Meeting Transport Canada Minor Works And Waters Order,In Stream Activity Start Date,In Stream Activity End Date,Restricted Activity Start Date,Restricted Activity End Date
OM2020-361,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,11/12/2020,05/12/2021,10/14/2020,10/14/2020,LINE 100-1,,,,,,Ontario,Kenora,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-360,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,Yes,10/19/2020,11/16/2020,10/14/2020,10/14/2020,,,,,CROW LAKE SALES,,Alberta,Tempo,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-359,Trans Mountain Pipeline ULC,,,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,01/01/2021,12/31/2021,10/14/2020,10/14/2020,"""Inactive TMPL 24"""" Mainline (no commodity currently  carried)""			",609.6,147.0,Crude Oil,,,British Columbia,Tête Jaune Cache,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-358,Trans Mountain Pipeline ULC,,,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,11/05/2020,04/30/2021,10/07/2020,10/07/2020,"""Inactive TMPL 24"""" Mainline (no commodity currently  carried)""			",609.6,147.0,Crude Oil,,,Alberta,Hinton	,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-357,TransCanada PipeLines Limited,,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,3.0,No,11/03/2020,05/03/2021,10/02/2020,10/02/2020,LINE 100-1,,,,,,Ontario,"Raleigh, Nipigon, and Wild Goose",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-356,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Calgary,T2P 3L8,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,11/03/2020,05/31/2021,10/02/2020,10/02/2020,"30"" Fort St. John Mainline",,,,,,British Columbia,Dokkie Subdivision,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-355,Plains Midstream Canada ULC,Calgary,T2P0A7,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,11/03/2020,02/28/2021,10/02/2020,10/02/2020,PTC MAINLINE: EMPRESS/WINNIPEG,,,,,,Saskatchewan,Baring,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-354,Many Islands Pipe Lines (Canada) Limited,Regina,S4P 4K5,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,10/30/2020,11/30/2020,09/22/2020,10/01/2020,Loomis-Herbert,,,,,Other Facility,Saskatchewan,The Village of Rush Lake ,,,No,No,No,No,,,Yes,1.0,Yes,Yes,No,No,No,No,No,No,No,,,,
OM2020-353,Trans-Northern Pipelines Inc.,Richmond Hill,L4B 3P6,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,32.0,,Yes,6.0,No,11/02/2020,06/30/2021,09/30/2020,09/30/2020,Mainline,,,,,,Ontario,Hamilton,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-353,Trans-Northern Pipelines Inc.,Richmond Hill,L4B 3P6,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,32.0,,Yes,6.0,No,11/02/2020,06/30/2021,09/30/2020,09/30/2020,Mainline,,,,,,Ontario,Hamilton,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-352,Husky Oil Operations Limited,Calgary,T2P 3G7,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,2.0,Yes,10/01/2020,10/15/2020,09/30/2020,09/30/2020,Border Pipeline System-Light crude line,,,,LLOYDMINISTER,,Saskatchewan,City of Lloydminster,,,No,No,No,No,,,Yes,0.0,Yes,Yes,No,No,No,No,No,No,No,,,,
OM2020-351,Enbridge Pipelines (NW) Inc.,Calgary,T2P 3L8,Northwest Territories,Removing an existing section of pipe and putting a new section in its place where the replacement is greater than 100 m (but less than 5 km) in length,,,516.0,No,,No,10/27/2020,03/31/2021,09/25/2020,09/25/2020,Line 21,,,,,,Northwest Territories,Tulita,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-351,Enbridge Pipelines (NW) Inc.,Calgary,T2P 3L8,Northwest Territories,Pressure testing of line pipe performed by means other than hydrostatic testing,,,516.0,No,,No,10/27/2020,03/31/2021,09/25/2020,09/25/2020,Line 21,,,,,,Northwest Territories,Tulita,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-350,Trans Mountain Pipeline ULC,,,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,11/01/2020,01/31/2021,09/22/2020,09/22/2020,"""Inactive TMPL 24' Mainline (no commodity currently  carried)""			",609.6,147.0,Crude Oil,,,British Columbia,"Tête Jaune Cache, British Columbia",,,No,No,No,No,,,Yes,2.0,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2020-349,Trans Mountain Pipeline ULC,,,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,11/01/2020,04/15/2021,09/22/2020,09/22/2020,Mainline,,,,,,British Columbia,Jasper,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2020-348,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Calgary,T2P 3L8,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,Yes,10/01/2020,10/31/2020,09/21/2020,09/21/2020,Grizzly Pipeline,,,,,,British Columbia,Hasler Flats,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,,,,
OM2020-347,Trans Mountain Pipeline ULC,,,Alberta,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,100.0,,No,,Yes,09/22/2020,10/30/2020,09/18/2020,09/18/2020,Mainline,,,,,,Alberta,Edson,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-346,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Edmonton,T5J 3S4,British Columbia,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,,,,No,,No,10/19/2020,12/31/2020,09/17/2020,09/17/2020,"SPECTRA - 30"" MAINLINE",,,,,,British Columbia,Bear Lake ,0.1,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-345,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,153.0,,Yes,1.0,No,10/19/2020,04/30/2021,09/17/2020,09/17/2020,Line 8,,,,,,Ontario,Blenheim,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-345,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,153.0,,Yes,1.0,No,10/19/2020,04/30/2021,09/17/2020,09/17/2020,Line 8,,,,,,Ontario,Blenheim,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-344,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/19/2020,11/13/2020,09/17/2020,09/17/2020,S. SASK RIVER LATERAL - NPS 4,,,,,,Alberta,Medicine Hat,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-343,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,3.0,No,10/15/2020,04/15/2021,09/16/2020,09/16/2020,LINE 100-1,,,,,,Ontario,Temagami,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-342,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/16/2020,11/13/2020,09/16/2020,09/16/2020,GREGORY NORTHEAST LATERAL - NPS 6,,,,,,Alberta,Brooks,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-341,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,131.0,,Yes,1.0,No,10/16/2020,04/30/2021,09/16/2020,09/16/2020,Line 9,,,,,,Ontario,Hamilton,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-340,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Ontario,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,,,,Yes,1.0,No,10/15/2020,11/05/2020,09/15/2020,09/15/2020,Line 6,,,,,,Ontario,Corunna,0.1,0.0,Yes,Yes,No,Yes,0.7,True,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2020-340,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/15/2020,11/05/2020,09/15/2020,09/15/2020,Line 6,,,,,,Ontario,Corunna,0.1,0.0,Yes,Yes,No,Yes,0.7,True,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2020-339,Trans-Northern Pipelines Inc.,Richmond Hill,L4B 3P6,Quebec,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,12.0,,Yes,1.0,No,10/14/2020,12/30/2020,09/14/2020,09/14/2020,Mainline,,,,,,Quebec,Montreal,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-338,Trans-Northern Pipelines Inc.,Richmond Hill - York - Richmond Hill,L4B 3P6,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,11/01/2020,11/30/2020,09/11/2020,09/11/2020,West Line,273.05,454.75,Refined Products-Aviation,,,Ontario,"Trenton, located in the municipality of Quinte West, Ontario ",,,No,No,No,No,,,No,,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,11/01/2020,11/30/2020,07/16/2020,03/14/2021
OM2020-337,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/13/2020,04/13/2021,09/11/2020,09/11/2020,GREGORY LATERAL - NPS 4,,,,,,Alberta,Brooks,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-336,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,3.0,Yes,09/23/2020,11/15/2020,09/10/2020,09/10/2020,MARTEN HILLS PRODUCER TIE-IN - NPS 16,,,,,,Alberta,Sandy Lake,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-335,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/08/2020,04/08/2021,09/09/2020,09/09/2020,VULCAN LATERAL - NPS 12,,,,,,Alberta,Vulcan,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-334,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/15/2020,10/31/2020,09/09/2020,09/09/2020,MEDICINE HAT EAST LATERAL,,,,,,Alberta,Schuler,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-333,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Edmonton,T5J 3S4,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/08/2020,04/30/2021,09/09/2020,09/09/2020,Line 13,,,,,,Saskatchewan,"Vibank, SK",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-332,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Calgary,T2P 3L8,Saskatchewan,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,50.0,,Yes,1.0,No,10/08/2020,04/30/2021,09/09/2020,09/09/2020,Line 13,,,,,,Saskatchewan,"Kipling, SK",,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-331,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Calgary,T2P 3L8,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/08/2020,04/30/2021,09/09/2020,09/09/2020,Line 13,,,,,,Saskatchewan,"Kipling, SK",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-330,Enbridge Southern Lights GP Inc. on behalf of Enbridge Southern Lights LP,Edmonton,T5J 3S4,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/08/2020,04/30/2021,09/09/2020,09/09/2020,Line 13,,,,,,Saskatchewan,"Vibank, SK",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-329,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/08/2020,04/30/2021,09/09/2020,09/09/2020,Line 2,,,,,,Alberta,"HAY LAKES, AB",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-328,Maritimes & Northeast Pipeline Management Ltd.,Waltham,02451,New Brunswick,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,10/08/2020,03/31/2021,09/09/2020,09/09/2020,Saint John lateral,,,,,,New Brunswick,"The project is located in the city of Saint John, New Brunswick.",,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-327,Maritimes & Northeast Pipeline Management Ltd.,Waltham,02451,Nova Scotia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,10/08/2020,03/31/2021,09/09/2020,09/09/2020,Halifax Lateral,,,,,,Nova Scotia,"The project is located just outside the rural community of Antrim, Nova Scotia. The community is part of the Halifax Regional Municipality. ",,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-326,Trans Mountain Pipeline ULC,,,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,Yes,09/30/2020,12/31/2020,08/31/2020,09/08/2020,Mainline,,,,,,Alberta,Hinton,,,No,No,No,No,,,No,,No,Yes,Yes,Yes,Yes,No,No,No,No,,,,
OM2020-325,Trans-Northern Pipelines Inc.,Richmond Hill,L4B 3P6,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,20.0,,Yes,2.0,No,10/08/2020,12/31/2020,09/08/2020,09/08/2020,Mainline,,,,,,Ontario,Oakville,,,No,No,No,No,,,No,,No,No,No,No,No,No,No,No,No,,,,
OM2020-323,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,Yes,09/08/2020,09/30/2020,09/03/2020,09/03/2020,HOLDEN LATERAL - NPS 6,,,,,,Alberta,Holden,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-322,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Edmonton,T5J 3S4,British Columbia,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,,,,No,,No,10/05/2020,11/23/2020,09/03/2020,09/03/2020,"26"" BC Trunk Pipeline - Downstream",,,,,,British Columbia,Loon Lake,0.2,,Yes,Yes,Yes,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-322,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Edmonton,T5J 3S4,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,10/05/2020,11/23/2020,09/03/2020,09/03/2020,"26"" BC Trunk Pipeline - Downstream",,,,,,British Columbia,Loon Lake,0.2,,Yes,Yes,Yes,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-321,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Edmonton,T5J 3S4,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,10/05/2020,11/30/2020,09/03/2020,09/03/2020,"26"" BC Trunk Pipeline - Downstream",,,,,,British Columbia,Quesnel,0.1,,Yes,Yes,Yes,No,,,Yes,2.0,Yes,No,No,No,No,No,No,No,No,,,,
OM2020-320,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/05/2020,04/30/2021,09/03/2020,09/03/2020,Line 2,,,,,,Alberta,"KILLAM, AB",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-319,Enbridge Pipelines Inc.,Edmonton,T5J 3S4,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/05/2020,04/30/2021,09/03/2020,09/03/2020,Line 2,,,,,,Alberta,"KILLAM, AB",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-318,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,1.0,No,10/05/2020,04/30/2021,09/03/2020,09/03/2020,Line 2,,,,,,Alberta,"HAY LAKES, AB",,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-317,Trans Québec and Maritimes Pipeline Inc.,Calgary,T2P 5H1,Quebec,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,191.0,,Yes,1.0,No,10/01/2020,04/01/2021,09/02/2020,09/02/2020,,,,,POSTE SAINT-MAURICE,,Quebec,Trois-Rivières,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-317,Trans Québec and Maritimes Pipeline Inc.,Calgary,T2P 5H1,Quebec,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,191.0,,Yes,1.0,No,10/01/2020,04/01/2021,09/02/2020,09/02/2020,,,,,POSTE SAINT-MAURICE,,Quebec,Trois-Rivières,,,No,No,No,No,,,No,,No,Yes,No,No,No,No,No,No,No,,,,
OM2020-316,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,,,,No,,No,10/15/2020,02/01/2021,09/02/2020,09/02/2020,,,,,Copton Creek Receipt Meter Station,Meter,Alberta,Grande Prairie,3.2,0.8,No,No,No,Yes,0.0,True,Yes,3.0,Yes,No,No,No,No,No,No,No,No,,,,
OM2020-316,NOVA Gas Transmission Ltd.,Calgary,T2P 5H1,Alberta,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,10/15/2020,02/01/2021,09/02/2020,09/02/2020,,,,,Copton Creek Receipt Meter Station,Meter,Alberta,Grande Prairie,3.2,0.8,No,No,No,Yes,0.0,True,Yes,3.0,Yes,No,No,No,No,No,No,No,No,,,,
OM2020-315,Husky Oil Operations Limited,Calgary,T2P 3G7,Saskatchewan,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,Yes,3.0,No,10/02/2020,10/23/2020,09/02/2020,09/02/2020,Border Pipeline System-refinery by-product line,,,,,,Saskatchewan,City of Lloydminster,,,No,No,No,No,,,Yes,1.0,Yes,Yes,No,No,No,No,No,No,No,,,,
OM2020-314,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Calgary,T2P 3L8,British Columbia,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,Yes,09/15/2020,10/31/2020,08/27/2020,08/28/2020,"SPECTRA - 30"" MAINLINE",,,,,,British Columbia,Chilliwack,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-313,TransCanada PipeLines Limited,Calgary,T2P 5H1,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,,,No,,No,09/28/2020,03/28/2021,08/28/2020,08/28/2020,LINE 100-1,,,,,,Ontario,Vaughan and Richmond Hill,,,No,No,No,No,,,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-312,Champion Pipe Line Corporation Limited,,,Quebec,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,140.0,,Yes,5.0,Yes,08/27/2020,09/11/2020,08/20/2020,08/27/2020,Earlton/Rouyn pipeline,,,,Pipeline Champion - 12000 (Earlton  Rouyn),Other Facility,Quebec,Voir la description des travaux pour une description précise du lieu des événements. ,,,No,No,No,No,,,Yes,1.0,Yes,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-311,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,New temporary or permanent land is required that is within critical habitat for any Endangered or Threatened species listed on Schedule 1 of the federal Species at Risk Act or is to be acquired in accordance with sections 320-322 of the CER Act.,,70.0,,Yes,1.0,No,09/28/2020,12/31/2020,08/27/2020,08/27/2020,Line 6,,,,,,Ontario,"Sarnia, ON",0.1,0.0,No,No,No,Yes,0.1,True,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-311,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Exposure of the pipe surface for the purposes of integrity assessments, repairs or removing an existing section of pipe and putting a new section in its place in areas where there are residences, or where there is a school, hospital, prison, or other institution where people routinely congregate in large groups (more than 50 people), within the emergency planning zone or within 200 m of the proposed activity (whichever is greater)",,70.0,,Yes,1.0,No,09/28/2020,12/31/2020,08/27/2020,08/27/2020,Line 6,,,,,,Ontario,"Sarnia, ON",0.1,0.0,No,No,No,Yes,0.1,True,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
OM2020-311,Enbridge Pipelines Inc.,Calgary,T2P 3L8,Ontario,"Ground disturbance using power-operated equipment within 30 m of a wetland  or a water body, or within 30 m of the substrate of a wetland or water body",,70.0,,Yes,1.0,No,09/28/2020,12/31/2020,08/27/2020,08/27/2020,Line 6,,,,,,Ontario,"Sarnia, ON",0.1,0.0,No,No,No,Yes,0.1,True,No,,No,Yes,Yes,No,No,No,No,No,No,,,,
