Table,Column,English,French
Tolls,Service,"Firm Full Path Service, except Seasonal, 5Yr Demand Charge","Service d’accès complet garanti, à l’exception du service saisonnier, droit lié à la demande mensuelle pour 5 ans"
Tolls,Service,"Firm Full Path Service, except Seasonal, Incremental Diversion Charge","Service d’accès complet garanti, à l’exception du service saisonnier, frais de déviation supplémentaires"
Tolls,Service,"Firm Full Path Service, except Seasonal, Overrun Quantities Charge","Service d’accès complet garanti, à l’exception du service saisonnier, droit lié aux volumes de dépassement"
Tolls,Service,"Firm Full Path Service, except Seasonal, PITS Charge 1","Service d’accès complet garanti, à l’exception du service saisonnier, frais de service TIP 1"
Tolls,Service,"Firm Full Path Service, except Seasonal, PITS Charge 2","Service d’accès complet garanti, à l’exception du service saisonnier, frais de service TIP 2"
Tolls,Service,"Firm Full Path Service: Seasonal, Demand Charge","Service d’accès complet garanti, service saisonnier, droit lié à la demande"
Tolls,Service,"Firm Full Path Service: Seasonal, Incremental Diversion Charge","Service d’accès complet garanti, service saisonnier, droit lié aux déviations supplémentaires"
Tolls,Service,"Firm Full Path Service: Seasonal, Overrun Quantities Charge","Service d’accès complet garanti, service saisonnier, droit lié aux volumes de dépassement"
Tolls,Service,FT,SG
Tolls,Service,FT Toll,Droit pour le SG
Tolls,Service,"FT, Commodity","SG, produit de base"
Tolls,Service,"FT, Demand","SG, demande"
Tolls,Service,"FT, Demand Charge Surcharge","SG, droit lié à la demande, supplément"
Tolls,Service,"FT, Demand Rate","SG, tarif lié à la demande"
Tolls,Service,"FT, ROS Secondary Receipt Point","SG, SER, points de réception secondaires"
Tolls,Service,FT-D Demand,"SG-L, demande"
Tolls,Service,IT Bid Floor,"TI, plancher de soumission"
Tolls,Service,"IT, Commodity Rate","TI, tarif de fourniture"
Tolls,Service,Joint Rate,Tarif commun
Tolls,Service,Local tariff,Tarif local
Tolls,Service,"Metered In, 3rd Party, Mainline tolls","Comptage à l’entrée, tiers, droits exigibles sur le réseau principal"
Tolls,Service,"Metered In, 3rd Party, Net Toll","Comptage à l’entrée, tiers, droit net"
Tolls,Service,"Metered In, 3rd Party, Surcharge","Comptage à l’entrée, tiers, supplément"
Tolls,Service,"Metered In, 3rd Party, Tankage Delivery","Comptage à l’entrée, tiers, installations de stockage pour la livraison"
Tolls,Service,"Metered In, 3rd Party, Tankage Receipt","Comptage à l’entrée, tiers, installations de stockage pour la réception"
Tolls,Service,"Metered In, 3rd Party, Terminalling Delivery","Comptage à l’entrée, tiers, opérations de terminal pour la livraison"
Tolls,Service,"Metered In, 3rd Party, Terminalling Receipt","Comptage à l’entrée, tiers, opérations de terminal pour la réception"
Tolls,Service,"Metered In, 3rd Party, Westridge Loading","Comptage à l’entrée, tiers, chargement au quai Westridge"
Tolls,Service,"Metered In, Direct Mainline, Mainline tolls","Comptage à l’entrée, direct, réseau principal, droits exigibles sur le réseau principal"
Tolls,Service,"Metered In, Direct Mainline, Net Toll","Comptage à l’entrée, direct, réseau principal, droit net"
Tolls,Service,"Metered In, Direct Mainline, Surcharge","Comptage à l’entrée, direct, réseau principal, supplément"
Tolls,Service,"Metered In, Direct Mainline, Tankage Delivery","Comptage à l’entrée, direct, réseau principal, installations de stockage pour la livraison"
Tolls,Service,"Metered In, Direct Mainline, Tankage Receipt","Comptage à l’entrée, direct, réseau principal, installations de stockage pour la réception"
Tolls,Service,"Metered In, Direct Mainline, Terminalling Delivery","Comptage à l’entrée, direct, réseau principal, opérations de terminal pour la livraison"
Tolls,Service,"Metered In, Direct Mainline, Terminalling Receipt","Comptage à l’entrée, direct, réseau principal, opérations de terminal pour la réception"
Tolls,Service,"Metered In, Direct Mainline, Westridge Loading","Comptage à l’entrée, direct, réseau principal, chargement au quai Westridge"
Tolls,Service,Monthly Abandonment,Montant mensuel perçu au titre de la cessation d’exploitation
Tolls,Service,"Monthly Abandonment Surcharge, Commodity Rate","Supplément mensuel perçu au titre de la cessation d’exploitation, tarif de fourniture"
Tolls,Service,"N40 Injected, Mainline tolls","Injection N40, droits exigibles sur le réseau principal"
Tolls,Service,"N40 Injected, Net Toll","Injection N40, droit net"
Tolls,Service,"N40 Injected, Surcharge","Injection N40, supplément"
Tolls,Service,"N40 Injected, Tankage Delivery","Injection N40, installations de stockage pour la livraison"
Tolls,Service,"N40 Injected, Tankage Receipt","Injection N40, installations de stockage pour la réception"
Tolls,Service,"N40 Injected, Terminalling Delivery","Injection N40, opérations de terminal pour la livraison"
Tolls,Service,"N40 Injected, Terminalling Receipt","Injection N40, opérations de terminal pour la réception"
Tolls,Service,"N40 Injected, Westridge Loading","Injection N40, chargement au quai Westridge"
Tolls,Service,None,Rien
Tolls,Service,"OT, Commodity Rate","Droits OT, tarif de fourniture"
Tolls,Service,OT-1,Droits OT-1
Tolls,Service,Pipeline Abandonment Surcharge,Supplément perçu au titre de la cessation d’exploitation
Tolls,Service,"Recoverable Cost Variances Demand Surcharge and Recoverable Cost Variances Surcharge, FFPS, except for Seasonal, Recoverable Cost Variances Demand Surcharge","Supplément lié à la demande perçu au titre de l’écart de coûts récupérables et supplément perçu au titre de l’écart de coûts récupérables, service garanti sur tout le couloir, à l’exception du service saisonnier, supplément perçu au titre de l’écart de coûts récupérables"
Tolls,Service,"Recoverable Cost Variances Demand Surcharge and Recoverable Cost Variances Surcharge, FFPS: Overrun Quantities, Recoverable Cost Variances Surcharge","Supplément lié à la demande perçu au titre de l’écart de coûts récupérables et supplément perçu au titre de l’écart de coûts récupérables, service garanti sur tout le couloir : Volumes de dépassement, supplément perçu au titre de l’écart de coûts récupérables"
Tolls,Service,"Recoverable Cost Variances Demand Surcharge and Recoverable Cost Variances Surcharge, FFPS: PITS, Recoverable Cost Variances Surcharge","Supplément lié à la demande perçu au titre de l’écart de coûts récupérables et supplément perçu au titre de l’écart de coûts récupérables, service garanti sur tout le couloir : Service TIP, supplément perçu au titre de l’écart de coûts récupérables"
Tolls,Service,"Recoverable Cost Variances Demand Surcharge and Recoverable Cost Variances Surcharge, FFPS: Seasonal, Recoverable Cost Variances Demand Surcharge","Supplément lié à la demande perçu au titre de l’écart de coûts récupérables et supplément perçu au titre de l’écart de coûts récupérables, service garanti sur tout le couloir : Service saisonnier, supplément perçu au titre de l’écart de coûts récupérables"
Tolls,Service,Reservation Charge,Frais de réservation
Tolls,Service,SGT Transportation Charge - Commodity,Frais de transport de gaz entreposé – Produit de base
Tolls,Service,SGT-SCGM Transportation Charge - Commodity,Frais de transport de gaz entreposé – Taux au volume – Produit de base
Tolls,Service,Simple capacity/commodity tolled pipelines,Pipelines à capacité simple pour les produits de base avec droits de transport
Tolls,Service,STFT Minimum Tolls,Droits minimums du SG-CT
Tolls,Service,T-1,Droits T-1
Tolls,Service,"Tank Metered, Mainline tolls","Réservoirs munis de compteurs, droits exigibles sur le réseau principal"
Tolls,Service,"Tank Metered, Net Toll","Réservoirs munis de compteurs, droit net"
Tolls,Service,"Tank Metered, Non Pipe, Mainline tolls","Réservoirs munis de compteurs, installations non utilisées, droits exigibles sur le réseau principal"
Tolls,Service,"Tank Metered, Non Pipe, Net Toll","Réservoirs munis de compteurs, installations non utilisées, droit net"
Tolls,Service,"Tank Metered, Non Pipe, Surcharge","Réservoirs munis de compteurs, installations non utilisées, supplément"
Tolls,Service,"Tank Metered, Non Pipe, Tankage Delivery","Réservoirs munis de compteurs, installations non utilisées, installations de stockage pour la livraison"
Tolls,Service,"Tank Metered, Non Pipe, Tankage Receipt","Réservoirs munis de compteurs, installations non utilisées, installations de stockage pour la réception"
Tolls,Service,"Tank Metered, Non Pipe, Terminalling Delivery","Réservoirs munis de compteurs, installations non utilisées, opérations de terminal pour la livraison"
Tolls,Service,"Tank Metered, Non Pipe, Terminalling Receipt","Réservoirs munis de compteurs, installations non utilisées, opérations de terminal pour la réception"
Tolls,Service,"Tank Metered, Non Pipe, Westridge Loading","Réservoirs munis de compteurs, installations non utilisées, chargement au quai Westridge"
Tolls,Service,"Tank Metered, Surcharge","Réservoirs munis de compteurs, supplément"
Tolls,Service,"Tank Metered, Tankage Delivery","Réservoirs munis de compteurs, installations de stockage pour la livraison"
Tolls,Service,"Tank Metered, Tankage Receipt","Réservoirs munis de compteurs, installations de stockage pour la réception"
Tolls,Service,"Tank Metered, Terminalling Delivery","Réservoirs munis de compteurs, opérations de terminal pour la livraison"
Tolls,Service,"Tank Metered, Terminalling Receipt","Réservoirs munis de compteurs, opérations de terminal pour la réception"
Tolls,Service,"Tank Metered, Westridge Loading","Réservoirs munis de compteurs, chargement au quai Westridge"
Tolls,Service,"Tank Non Metered, Mainline tolls","Réservoirs non munis de compteurs, droits exigibles sur le réseau principal"
Tolls,Service,"Tank Non Metered, Net Toll","Réservoirs non munis de compteurs, droit net"
Tolls,Service,"Tank Non Metered, Surcharge","Réservoirs non munis de compteurs, supplément"
Tolls,Service,"Tank Non Metered, Tankage Delivery","Réservoirs non munis de compteurs, installations de stockage pour la livraison"
Tolls,Service,"Tank Non Metered, Tankage Receipt",installations de stockage pour la réception
Tolls,Service,"Tank Non Metered, Terminalling Delivery","Réservoirs non munis de compteurs, opérations de terminal pour la livraison"
Tolls,Service,"Tank Non Metered, Terminalling Receipt","Réservoirs non munis de compteurs, opérations de terminal pour la réception"
Tolls,Service,"Tank Non Metered, Westridge Loading","Réservoirs non munis de compteurs, chargement au quai Westridge"
Tolls,Service,"Tank, Mainline tolls","Réservoir, droits exigibles sur le réseau principal"
Tolls,Service,"Tank, Net Toll",Réservoir. droit net
Tolls,Service,"Tank, Surcharge","Réservoir, supplément"
Tolls,Service,"Tank, Tankage","Réservoir, stockage"
Tolls,Service,"Tank, Terminal","Réservoir, terminal"
Tolls,Service,"Tank, Westridge Loading","Réservoir, chargement au quai Westridge"
Tolls,Service,Toll,Droit
Tolls,Service,TRANSMISSION AND TERMINALLING,TRANSPORT ET OPÉRATIONS DE TERMINAL
Tolls,Service,Transportation,Transport
Tolls,Service,TS Injection Fees - Commodity,TS Frais d’injection – Produit de base
Tolls,Service,TS Storage Fees - Monthly,TS Frais de stockage – Mensuels
Tolls,Service,TS-SCGM Injection Fees - Commodity,TS Frais d’injection  – Taux au volume – Produit de base
Tolls,Service,TS-SCGM Storage Fees - Monthly,TS Frais de stockage – Taux au volume – Mensuels
Tolls,Service,Uncommitted,Capacité non souscrite
Tolls,Service,Uncommitted Joint Rate  ,Taux conjoint non souscrit  
Tolls,Service,Uncommitted Rates,Taux non souscrits
Tolls,Service,"Uncommitted, Uncommitted","Capacité non souscrite, taux non souscrit"
Tolls,Service,MN365 - Usage Charge Outside Tolerances,MN365 - Frais d’utilisation hors tolérance
Tolls,Service,Usage Charge Within Tolerances,Frais d’utilisation dans la tolérance
Tolls,Service,Volume Incentive Rate,Taux incitatif relatif au volume
Tolls,Units,$ per barrel,$ par baril
Tolls,Units,$ per cubic metre,$ par mètre cube
Tolls,Units,$/103m3 / month,$/1000 m3/mois
Tolls,Units,$/1000 m3/month,$/1000 m3/mois
Tolls,Units,$/103m3,$/1000 m3/mois
Tolls,Units,$/103m3/ month,$/1000 m3/mois
Tolls,Units,$/103m3/day,$/1000 m3/jour
Tolls,Units,$/10³m³/month,$/1000 m3/mois
Tolls,Units,$/barrel,$ par baril
Tolls,Units,$/GJ,$/GJ
Tolls,Units,$/GJ / month,$/GJ/mois
Tolls,Units,$/GJ/Day,$/GJ/jour
Tolls,Units,$/GJ/Km,$/GJ/kilomètre
Tolls,Units,$/GJ/Km/Month,$/GJ/kilomètre/mois
Tolls,Units,$/GJ/Month,$/GJ/mois
Tolls,Units,$/m3,$ par mètre cube
Tolls,Units,$/month,$/mois
Tolls,Units,10³m³,1000 mètre cube
Tolls,Units,103m3/mo,1000 m3/mois
Tolls,Units,10³m³/mo,1000 m3/mois
Tolls,Units,CAD DOLLARS PER CUBIC METRE,CAD$ par mètre cube
Tolls,Units,CAN $/GJ,CAN $/GJ
Tolls,Units,Canadian Dollars per cubic metre,CAD$ par mètre cube
Tolls,Units,CN$/m3,CAD$ par mètre cube
Tolls,Units,cubic metre,mètre cube
Tolls,Units,DOLLARS PER CUBIC METRE,$ par mètre cube
Tolls,Units,None,Rien
Tolls,Units,NULL,NULL
Tolls,Units,U.S. DOLLARS PER BARREL,US$ par baril
Tolls,Units,US cents per barrel,cents US le baril
Tolls,Units,US DOLLARS PER CUBIC METER,US$ par mètre cube
Tolls,Units,US$ per cubic metre,US$ par mètre cube
Tolls,Units,USD$ per cubic metre,US$ par mètre cube
Tolls,Units,US dollars per cubic metre,US$ par mètre cube
Tolls,Units,US$/m3,US$ par mètre cube
Tolls,Units,US$/gallon,US$/gallon
Tolls,Units,US/MMBtu,US/MMBtu
Tolls,Units,USD$ per barrel,US$ par baril
Tolls,Units,$/GJ/mo,$/GJ/mois
Tolls,Service,Average FT-D,Moyenne de SG-L
Tolls,Service,"Committed, International Joint","Volumes souscrits, tarif commun"
Tolls,Service,"Uncommitted, International Joint","Capacité non souscrite, tarif commun"
Tolls,Service,"All, Local",Tout tarif local
Tolls,Receipt Point,"Sarnia, Ontario","Sarnia, Ontario"
Tolls,Service,"Committed, Local","Volumes souscrits, tarif local"
Tolls,Service,"Uncommitted, Local","Capacité non souscrite, tarif local"
Tolls,Delivery Point,various terminals/refineries in Texas,divers terminaux/raffineries au Texas
Tolls,Service,Firm Demand Charge,"Service d’accès complet garanti, droit lié à la demande"
Tolls,Product,super-heavy petroleum,pétrole extra lourd
Tolls,Product,light crude oil,pétrole brut léger
Tolls,Receipt Point,ALTAGAS HOLDINGS FORTSTJOHN,Altagas Holdings Fort St. John
Tolls,Receipt Point,"Berthold (Ward County), North Dakota","Berthold (Ward County), Dakota du Nord"
Tolls,Receipt Point,BOUNDARY LK S 06-09,BOUNDARY LK S 06-09
Tolls,Receipt Point,BOUNDARY LK S 06-09-08-13W6,BOUNDARY LK S 06-09-08-13W6
Tolls,Receipt Point,CAN/US Border,Frontière canado-américaine
Tolls,Receipt Point,"International Border near North Portal, Saskatchewan","Frontière internationale, près de North Portal, Saskatchewan"
Tolls,Receipt Point,POUCE COUPÉ SYSTEM,Système Pouce Coupé
Tolls,Receipt Point,"SEEP, Saskatchewan",usine d’extraction d’éthane de Saskatchewan (UEES)
Tolls,Delivery Point,Antelope,Antelope
Tolls,Delivery Point,"Connection with Glacier Pipe Line Company at a point on the International Boundary near Carway, Alberta","Raccordement avec Glacier Pipe Line Company, point sur la frontière internationale près de Carway, en Alberta "
Tolls,Delivery Point,"E.D.S. Delivery Point, Corunna Lambton County, Ontario","Point de livraison du réseau de livraison de l’Est, Corunna, comté de Lambton, Ontario"
Tolls,Delivery Point,Énergir EDA (formerly called GMIT EDA),ZLE d’Energir (anciennement appelé) ZLE de GMIT
Tolls,Delivery Point,Esther-Smiley,Esther-Smiley
Tolls,Delivery Point,"Keyera Fort Saskatchewan Facility, Alberta","Installation de Keyera Fort Saskatchewan, Alberta"
Tolls,Delivery Point,Lloydminster,Lloydminster
Tolls,Delivery Point,"Pembina Fort Saskatchewan Facility, Alberta","Pembina Fort Saskatchewan Facility, Alberta"
Tolls,Delivery Point,Pierceland-Cold Lake,Pierceland-Cold Lake
Tolls,Delivery Point,"Plains Fort Saskatchewan Facility, Alberta","Installation de Plains Fort Saskatchewan, Alberta"
Tolls,Delivery Point,Steelman-North Portal,Steelman-Nord Portal
Tolls,Delivery Point,Steelman/Portal,Steelman/Portal
Tolls,Delivery Point,Swan River,Swan River
Tolls,Units,CANADIAN DOLLARS PER BARREL,CAD$ par baril
Tolls,Units,$/103m3/mo,$/1000 m3/mois
Tolls,Units,CAN $/GJ/month,CAN $/GJ/mois
Tolls,Units,Dollars per Barrel Payable in United States Currency,US$ par baril
Tolls,Units,CA$ per cubic metre,CAD$ par mètre cube
Tolls,Service,DISCOUNTED TOLLS,Droits réduits
Tolls,Service,Firm 1Yr Demand Charge,"Service d’accès complet garanti, droit lié à la demande mensuelle pour 1 ans"
Tolls,Service,Firm 3Yr Demand Charge,"Service d’accès complet garanti, droit lié à la demande mensuelle pour 3 ans"
Tolls,Service,"2nd OPEN SEASON, COMMITTED, 10 Years, 49,999 or less","2e APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 10 ans, 49 999 ou moins"
Tolls,Service,"10 Year Commitment (>=40,000 bpd)","Engagement de 10 ans (>=40,000 barils)"
Tolls,Service,5 to 9 Year,5 à 9 ans
Tolls,Service,Committed Shipper A Volume Incentive,"Volumes souscrits Shipper A, tarif incitatif"
Tolls,Service,Firm 5Yr Demand Charge,"Service d’accès complet garanti, droit lié à la demande mensuelle pour 5 ans"
Tolls,Service,Committed Shipper A Joint,"Volumes souscrits Shipper A, tarif commun"
Tolls,Service,"2nd OPEN SEASON, COMMITTED, 20 Years, 50,000 – 99,999","2e APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 20 ans, de 50 000 à 99 999"
Tolls,Service,Base Tariff,tarif de base
Tolls,Service,FS,SG
Tolls,Service,Committed Volume Incentive,Taux incitatif relatif au volume souscrits
Tolls,Service,"2nd OPEN SEASON, COMMITTED, 15 Years, 49,999 or less","2e APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 15 ans, 49 999 ou moins"
Tolls,Service,Net Tariff,Droit net
Tolls,Service,10 or more Year,10 ans ou plus
Tolls,Service,TOLLS,Droits
Tolls,Service,"1st OPEN SEASON, COMMITTED, 15 Years, 50,000 +","1er APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 15 ans, 50 000 ou plus"
Tolls,Service,Abandonment Surcharges,Supplément perçu au titre de la cessation d’exploitation
Tolls,Service,"2nd OPEN SEASON, COMMITTED, 15 Years, 50,000 – 99,999","2e APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 15 ans, de 50 000 à 99 999"
Tolls,Service,"1st OPEN SEASON, COMMITTED, 10 Years, 99,999 or less","1er APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 10 ans, 99 999 ou moins"
Tolls,Service,"2nd OPEN SEASON, COMMITTED, 10 Years, 50,000 – 99,999","2e APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 10 ans, de 50 000 à 99 999"
Tolls,Service,Committed Joint,"Volumes souscrits, tarif commun"
Tolls,Service,Tank Metered,Réservoirs munis de compteurs
Tolls,Service,"10 Year Commitment (<40,000 bpd)","Engagement de 10 ans (<40,000 barils)"
Tolls,Service,5 Year Commitment,Engagement de 5 ans
Tolls,Service,"1st OPEN SEASON, COMMITTED, 15 Years, 49,999 or less","1er APPEL DE SOUMISSIONS – VOLUMES SOUSCRITS, 15 ans, 49 999 ou moins"
Tolls,Service,Uncommitted Joint,Taux conjoint non souscrit
Tolls,Receipt Point,System,Système
Tolls,Delivery Point,"Kerrobert, Saskatchewan","Kerrobert, Saskatchewan"
Tolls,Receipt Point,"Montreal East, Quebec","Montréal Est, Québec"
Surveillance_Report,Classification,Revenues (million $),Revenus (en millions de dollars)
Surveillance_Report,Classification,Rate Base (million $),Base tarifaire (en millions de dollars)
Surveillance_Report,Classification,ROE (%),Rendement des capitaux propres (en pourcentage)
Surveillance_Report,Classification,Revenue (million $),Revenus (en millions de dollars)
Surveillance_Report,Classification,Deemed equity ratio (%),Ratio présumé des capitaux propres (en pourcentage)
Surveillance_Report,Classification,Operating Income (million $),Bénéfice d’exploitation (en millions de dollars)
Surveillance_Report,Classification,All Assets (million $),Tous les actifs (en millions de dollars)
Surveillance_Report,Classification,Net income (million $),Bénéfice net (en millions de dollars)
Surveillance_Report,Classification,Assets (million $),Actifs (en millions de dollars)
Surveillance_Report,Classification,Expenses (million $),Dépenses (en millions de dollars)
Surveillance_Report,Classification,Return on Rate Base (%),Taux de rendement de la base tarifaire (en pourcentage)
Surveillance_Report,Classification,Fixed costs (million $),Coûts fixes (en millions de dollars)
Surveillance_Report,Classification,After-Tax Weighted Average Cost Of Capital (ATWACC) (%),Coût moyen pondéré du capital après impôt (%)
Surveillance_Report,Classification,Return On Common Equity (million $),Taux de rendement de l’avoir des actionnaires ordinaires (en pourcentage)
Surveillance_Report,Classification,Assets (thousand $),Actifs (en milliers de dollars)
Surveillance_Report,Classification,Expenses (thousand $),Dépenses (en milliers de dollars)
Surveillance_Report,Classification,Revenue (thousand $),Revenus (en milliers de dollars)
Surveillance_Report,Classification,Net income (thousand $),Bénéfice net (en milliers de dollars)
Surveillance_Report,Classification,Return on Net Plant (%),Rendement de la valeur nette des installations (en pourcentage)
Surveillance_Report,Classification,Revenue Requirement (million $),Besoins en produits (en millions de dollars)
Credit_Rating,Rating,A (low),A (faible)
Credit_Rating,Rating,Discontinued rating,Note réduite
Credit_Rating,Rating,BBB,BBB
Credit_Rating,Rating,Baa1,Baa1
Credit_Rating,Rating,Baa2,Baa2
Credit_Rating,Rating,BBB+,BBB+
Credit_Rating,Rating,A3,A3
Credit_Rating,Rating,A,A
Credit_Rating,Rating,A-,A-
Credit_Rating,Rating,Baa3,Baa3
Credit_Rating,Rating,BBB (high),BBB (élevée)
Credit_Rating,Rating,Discontinued,Note réduite
Credit_Rating,Rating,AA (High),AA (élevée)
Credit_Rating,Rating,AA (low),AA (faible)
Credit_Rating,Rating,AA,AA
Credit_Rating,Rating,AAA,AAA
Credit_Rating,Rating,AA+,AA+
Credit_Rating,Rating,AA-,AA-
Credit_Rating,Rating,Aa1,Aa1
Credit_Rating,Rating,Aa2,Aa2
Credit_Rating,Rating,A+,A+
Credit_Rating,Rating,BBB (low),BBB (faible)
Credit_Rating,Rating,Ba1,Ba1
Credit_Rating,Rating,Ba2,Ba2
Credit_Rating,Rating,BB+,BB+
Credit_Rating,Rating,BB-,BB-
Credit_Rating,Rating,BB,BB
Credit_Rating,Rating,BBB-,BBB-
Credit_Rating,Rating,Not rated,Non coté
Surveillance_Report,Classification,ROE on Deemed Equity Ratio (%),RCP sur le ratio des capitaux propres réputé (%)
Surveillance_Report,Classification,Actual Equity Ratio (%),Ratio réel des capitaux propres (%)
Surveillance_Report,Classification,ROE on Actual Equity Ratio (%),RCP sur le ratio des capitaux propres réel (%)
Surveillance_Report,Classification,Net plant (million $),Valeur nette des installations (en millions de dollars)
Surveillance_Report,Classification,Net plant in service (million $),Valeur nette des installations en service (en millions de dollars)
Surveillance_Report,Classification,Average rate base (million $),Base tarifaire moyenne (en millions de dollars)
